"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"132","usa","las cruces","new mexico state university","nm","88003","8/23/2017","New Mexico State University","1780 E University Ave, Las Cruces, NM 88003, USA","http://www.nmsu.edu/"
"133","usa","hilo","hawaii community college","hi","96720","8/23/2017","Hawai'i Community College","1175 Manono St, Hilo, HI 96720, USA","http://hawaii.hawaii.edu/"
"134","usa","bowling green","western kentucky university","ky","42101-1000","8/23/2017","Western Kentucky University","1906 College Heights Blvd, Bowling Green, KY 42101, USA","http://www.wku.edu/"
"135","usa","merced","merced college","ca","95348","8/23/2017","Merced College","3600 M St, Merced, CA 95348, USA","http://www.mccd.edu/"
"136","usa","honolulu","univ of hawaii manoa campus","hi","96822","8/23/2017","University of Hawaii at Manoa","2500 Campus Rd, Honolulu, HI 96822, USA","http://www.manoa.hawaii.edu/"
"137","usa","bradenton","state coll of florida - bradenton","fl","34207-3522","8/23/2017","State College of Florida","5840 26th St W, Bradenton, FL 34207, USA","http://www.scf.edu/"
"138","usa","tampa","fl gulf coast chapter abc","fl","33607-3104","8/23/2017","Associated Builders & Contractors","2008 N Himes Ave, Tampa, FL 33607, USA","http://www.abcflgulf.org/"
"139","usa","ocala","college of central florida","fl","34474-4415","8/23/2017","College of Central Florida","3001 SW College Rd, Ocala, FL 34474, USA","http://www.cf.edu/"
"140","usa","bloomington","indiana univ bloomington","in","47405-7104","8/23/2017","Student Central","408 N Union St, Bloomington, IN 47405, USA","http://studentcentral.indiana.edu/"
"141","usa","statesboro","georgia southern university","ga","30460","8/23/2017","Georgia Southern University College of Business Administration","621 C.O.B.A. Dr, Statesboro, GA 30460, USA","http://georgiasouthern.edu/business"
"142","usa","hammond","southeastern louisiana univ","la","70402","8/23/2017","Southeastern Louisiana University","500 W University Ave, Hammond, LA 70402, USA","http://southeastern.edu/"
"143","usa","amarillo","amarillo college","tx","79109-2411","8/23/2017","Amarillo College","2201 S Washington St, Amarillo, TX 79109, USA","https://www.actx.edu/"
"144","usa","warren","macomb community college","mi","48088","8/23/2017","Macomb Community College","14500 Twelve Mile Rd, Warren, MI 48088, USA","http://www.macomb.edu/"
"145","usa","modesto","modesto junior college","ca","95350","8/23/2017","Modesto Junior College","435 College Ave, Modesto, CA 95350, USA","http://mjc4life.org/"
"146","usa","lake worth","palm beach state coll - lake worth","fl","33461-4705","8/23/2017","Palm Beach State College","4200 S Congress Ave, Lake Worth, FL 33461, USA","https://www.palmbeachstate.edu/"
"147","usa","miami","fiu -  university park campus","fl","33199","8/23/2017","Florida International University","11200 SW 8th St, Miami, FL 33199, USA","http://www.fiu.edu/"
"148","usa","butler","butler county cmty college","pa","16001","8/23/2017","Butler County Community College","107 College Dr, Butler, PA 16002, USA","http://www.bc3.edu/"
"149","usa","brookings","south dakota state univ -br","sd","57007","8/23/2017","South Dakota State University","Brookings, SD 57007, USA","http://www.sdstate.edu/"
"150","usa","raleigh","north carolina state univ","nc","27695","8/23/2017","North Carolina State University","Raleigh, NC 27695, USA","http://www.ncsu.edu/"
"151","usa","williston","williston state college","nd","58801-4464","8/23/2017","Williston State College","1410 University Ave, Williston, ND 58801, USA","http://www.willistonstate.edu/"
"152","usa","el reno","redlands community college","ok","73036","8/23/2017","Redlands Community College","1300 S Country Club Rd, El Reno, OK 73036, USA","http://www.redlandscc.edu/"
"153","usa","cleburn","hill college - johnson campus","tx","76033","8/23/2017","Hill College","209 W Westhill Dr, Cleburne, TX 76033, USA","http://hillcollege.edu/"
"154","usa","tahlequah","northeastern state univ","ok","74464","8/23/2017","Northeastern State University Tahlequah","600 N Grand Ave, Tahlequah, OK 74464, USA","http://www.nsuok.edu/"
