ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077469,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077470,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077471,BFA,Burkina Faso,WAF-FRA,West Africa (Fra),FRA,France,WAF,FRA
3077472,BGD,Bangladesh,IND-UK,India (UK),UK,United Kingdom,IND,UK
3077473,BGD,Bangladesh,IND-UK,India (UK),UK,United Kingdom,IND,UK
3077475,BGD,Bangladesh,IND-UK,India (UK),UK,United Kingdom,IND,UK
3077477,BGD,Bangladesh,IND-UK,India (UK),UK,United Kingdom,IND,UK
3077478,BGR,Bulgaria,ROU,Romania,,,,
3077479,BGR,Bulgaria,BGR,Bulgaria,,,,
3077480,BGR,Bulgaria,BGR,Bulgaria,,,,
3077481,BGR,Bulgaria,BGR,Bulgaria,,,,
3077482,BGR,Bulgaria,BGR,Bulgaria,,,,
3077483,BGR,Bulgaria,BGR,Bulgaria,,,,
3077484,BGR,Bulgaria,BGR,Bulgaria,,,,
3077485,BGR,Bulgaria,BGR,Bulgaria,,,,
3077486,BGR,Bulgaria,ROU,Romania,,,,
3077487,BGR,Bulgaria,BGR,Bulgaria,,,,
3077488,BGR,Bulgaria,BGR,Bulgaria,,,,
3077489,BGR,Bulgaria,BGR,Bulgaria,,,,
3077490,BGR,Bulgaria,BGR,Bulgaria,,,,
