instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
towson,towson university,md,21252-0001,11/14/2016
canandaigua,finger lakes comm coll,ny,14424-8347,11/14/2016
west long branch,monmouth univ,nj,07764-1804,11/15/2016
worcester,quinsigamond community coll,ma,01606-2064,11/15/2016
irvine,univ of calif - irvine,ca,92717,11/15/2016
utica,mohawk valley cmty college,ny,13501-5308,11/15/2016
indianapolis,ivy tech state coll - indianap,in,46208-4777,11/15/2016
radford,radford university,va,24142,11/15/2016
shelbyville,kctcs-jefferson-shelby county,ky,40065-9447,11/15/2016
san antonio,texas a & m university-san antonio,tx,78224,11/15/2016
grayslake,college of lake county,il,60030,1/29/2016
phoenix,paradise valley comm coll,az,85032,1/29/2016
chicago,loyola univ - water tower,il,60611,1/29/2016
frisco,collin college - preston rdge,tx,75035,1/29/2016
oxford,miami univ - oxford,oh,45056-1846,1/29/2016
san marcos,cal state u - san marcos,ca,92096,1/29/2016
waukesha,uwc - waukesha,wi,53188-2720,1/29/2016
storrs,univ of connecticut-storrs,ct,6269,1/29/2016
green bay,ne wisconsin tech clg-gb,wi,54303,1/29/2016
northridge,cal state u - northridge,ca,91330,1/29/2016
sacramento,cal state u - sacramento,ca,95819,1/29/2016
new paltz,suny at new paltz,ny,12561-2447,1/29/2016
slippery rock,slippery rock univ of pa,pa,16057-1313,1/29/2016
monroe,univ of louisiana at monroe,la,71209-9000,1/29/2016
davie,florida atlantic u-davie,fl,33314,1/29/2016
durham,univ of new hampshire,nh,3824,1/29/2016
martin,univ of tennessee - martin,tn,38238-0001,1/29/2016
corsicana,navarro coll - corsicana,tx,75110,1/29/2016
sioux city,western iowa tech cc,ia,51106-1918,1/29/2016
missoula,university of montana,mt,59812-0003,1/29/2016
east lansing,michigan state university,mi,48824,1/29/2016
new haven,gateway cc - new haven,ct,6510,1/29/2016
dearborn,henry ford cmty college,mi,48128-2407,1/29/2016
kingston,university of rhode island,ri,02881-1124,1/29/2016
philadelphia,st josephs university,pa,19131-1308,1/29/2016
dayton,wright state university,oh,45435-0001,1/29/2016
sioux city,morningside college,ia,51106-1717,1/29/2016
cleveland,cleveland st cmty coll,tn,37312-2813,1/29/2016
frostburg,frostburg state university,md,21532-2303,1/29/2016
phoenix,south mountain comm college,az,85042,1/29/2016
shreveport,southern univ-shreveport,la,71107,1/29/2016
jamaica,st johns univ (queens),ny,11439-0001,1/29/2016
lubbock,texas tech university,tx,79409,1/29/2016
westfield,westfield state college,ma,01085-2580,1/29/2016
la junta,otero junior college,co,81050,1/29/2016
rio grande,university of rio grande,oh,45674-3100,1/29/2016
boca raton,palm beach state coll - south,fl,33431-6418,1/29/2016
salinas,hartnell community college,ca,93901,1/29/2016
spokane,spokane falls comm coll,wa,99224,1/29/2016
austin,austin c c - northridge,tx,787583190,1/29/2016
murfreesboro,middle tennessee state univ,tn,37132-0001,1/29/2016
batavia,univ cincinnati-clermont,oh,45103,1/29/2016
kalispell,flathead vly comm college,mt,59901-2622,1/29/2016
youngwood,westmoreland cnty cmty coll,pa,15697-1801,1/29/2016
champaign,univ of illinois - champaign,il,61820,1/29/2016
stephenville,tarleton state univ,tx,76402,1/29/2016
salem,salem state university,ma,01970-5348,1/29/2016
auburn hills,oakland cc - auburn hills,mi,48326,1/29/2016
indianapolis,university of indianapolis,in,46227-3630,1/29/2016
milwaukee,alverno college,wi,53215-4020,1/29/2016
tyler,univ of texas - tyler,tx,75799,1/29/2016
san diego,university of san diego,ca,92110,1/29/2016
reading,reading area comm college,pa,19602-1014,1/29/2016
largo,prince georges cmty college,md,20774-2109,1/29/2016
pomona,cal state polytech u-pomona,ca,91768,1/29/2016
